data_time,year,product_category,district,inspection_result,shop_name,original_location,failure_reasons,updated_at
2026-05-03T00:48:46.175674+08:00,2022,糕粿糬類製品,士林,不符合規定,六六製麵,六六製麵/臺北市士林區德行東路109巷107號(士東市場旁),"[""苯甲酸 0.57 g/kg""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,軟體動物,大安,不符合規定,太平洋崇光百貨股份有限公司(Fresh Mart),太平洋崇光百貨股份有限公司(Fresh Mart)/臺北市大安區忠孝東路4段45號B2樓,"[""鎘：3 mg/kg""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,小葉菜類,信義,不符合規定,壹舍國際股份有限公司(真心台菜餐廳),壹舍國際股份有限公司(真心台菜餐廳)/臺北市信義區松智路17號4樓,"[""殺蟲劑Chlorpyrifos 陶斯松0.""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,柑桔類,士林,不符合規定,新潔水菓行(新豐水果店),新潔水菓行(新豐水果店)/臺北市士林區天母西路69號,"[""殺菌劑Iprodione 依普同0.""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,香辛植物及其他草木本植物,松山,不符合規定,百特蔬果行,百特蔬果行/臺北市松山區民生東路5段20號,"[""殺蟲劑Phenthoate 賽達松0.""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,小葉菜類,信義,不符合規定,惠民蔬果量販店,惠民蔬果量販店/臺北市信義區吳興街157號,"[""殺蟲劑Chlorfenapyr 克凡派1.""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,瓜菜類,中山,不符合規定,全聯實業股份有限公司台北吉林分公司,全聯實業股份有限公司台北吉林分公司/臺北市中山區吉林路213、215、217、219號1樓,"[""殺菌劑Procymidone 撲滅寧3.""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,瓜菜類,南港,不符合規定,茂昌菓菜行(茂昌蔬果),茂昌菓菜行(茂昌蔬果)/臺北市萬華區富民路155巷27號1樓,"[""殺菌劑Tebuconazole 得克利0.""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,乾豆類,松山,不符合規定,家福股份有限公司三民分公司,家福股份有限公司三民分公司/臺北市松山區三民路160號,"[""殺蟲劑Diflubenzuron 二福隆0.""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,飲料,中正,不符合規定,錫安商行(波囍),錫安商行(波囍)/臺北市中正區羅斯福路3段316巷2號1樓,"[""衛生標準""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,飲料,北投,不符合規定,鼎茶飲品店(龜記北投石牌店),鼎茶飲品店(龜記北投石牌店)/臺北市北投區石牌路2段124號1樓,"[""衛生標準""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,飲料,北投,不符合規定,鼎茶飲品店(龜記北投石牌店),鼎茶飲品店(龜記北投石牌店)/臺北市北投區石牌路2段124號1樓,"[""衛生標準""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,鵝肉,中山,不符合規定,鵝城餐飲有限公司,鵝城餐飲有限公司/臺北市中山區吉林路105號,"[""Doxycycline 1.""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,臘肉類,大安,不符合規定,上海火腿食品(南門市場B57攤),上海火腿食品(南門市場B57攤)/臺北市大安區杭州南路2段55號,"[""已二烯酸 2.22 g/kg""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,臘肉類,大安,不符合規定,上海火腿食品(南門市場B57攤),上海火腿食品(南門市場B57攤)/臺北市大安區杭州南路2段55號,"[""已二烯酸 2.22 g/kg""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,果菜類,中山,不符合規定,魚金貿易有限公司民族營業所(上引水產),魚金貿易有限公司民族營業所(上引水產)/臺北市中山區民族東路410巷2弄18號,"[""殺菌劑Pyraclostrobin 百克敏1.""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,小葉菜類,南港,不符合規定,宜新蔬果行,宜新蔬果行/臺北市萬華區富民路155巷49之3號,"[""殺蟲劑Chlorfenapyr 克凡派1.""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,醬油,中正,不符合規定,萬泰醬園,萬泰醬園/台北市中正區永春街292、294號,"[""總氮量1.26g/100ml""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,烤肉用蔬菜,南港,不符合規定,全聯實業股份有限公司西門町分公司(萬華長沙店),全聯實業股份有限公司西門町分公司(萬華長沙店)/臺北市萬華區長沙街2段110.112號1樓,"[""扶吉胺Fluazinam 0.""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,烤肉用蔬菜,北投,不符合規定,全聯實業股份有限公司台北北投分公司(全聯福利中心),全聯實業股份有限公司台北北投分公司(全聯福利中心)/臺北市北投區北投路2段11號,"[""殺蟲劑Thiamethoxam 賽速安0.""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,烤肉用蔬菜,北投,不符合規定,全聯實業股份有限公司台北北投分公司(全聯福利中心),全聯實業股份有限公司台北北投分公司(全聯福利中心)/臺北市北投區北投路2段11號,"[""殺蟲劑Cyromazine 賽滅淨0.""]",2026-05-03T00:48:46.175674+08:00
2026-05-03T00:48:46.175674+08:00,2022,烤肉用蔬菜,南山,不符合規定,為福樓餐廳有限公司,為福樓餐廳有限公司/臺北市南港區忠孝東路5段996號,"[""殺菌劑Procymidone 撲滅寧5.""]",2026-05-03T00:48:46.175674+08:00
