data_time,year,product_category,district,inspection_result,shop_name,original_location,failure_reasons,updated_at
2026-05-03T02:57:09.821513+08:00,2024,柑桔類,中山,不符合規定,旺旺水果行(龍江水果行),旺旺水果行(龍江水果行)/臺北市中山區龍江路189號,"[""殺蟲劑Chlorpyrifos\t陶斯松0."", ""殺菌劑Famoxadone\t凡殺同0."", ""殺蟲劑Fenvalerate\t芬化利2.""]",2026-05-03T02:57:09.821513+08:00
2026-05-03T02:57:09.821513+08:00,2024,小葉菜類,中山,不符合規定,龍來餐飲有限公司(儂來美食),龍來餐飲有限公司(儂來美食)/臺北市中山區民生東路2段147巷11弄2-1號,"[""殺菌劑Boscalid\t白克列21."", ""殺菌劑Procymidone\t撲滅寧10.""]",2026-05-03T02:57:09.821513+08:00
2026-05-03T02:57:09.821513+08:00,2024,小漿果類,大安,不符合規定,一級鮮果商行,一級鮮果商行/臺北市大安區仁愛路4段408號,"[""殺蟲劑Methomyl\t納乃得3."", ""殺菌劑Pyraclostrobin\t百克敏1.""]",2026-05-03T02:57:09.821513+08:00
2026-05-03T02:57:09.821513+08:00,2024,包葉菜類,松山,不符合規定,無市招菜攤(陳O宏),無市招菜攤(陳O宏)/臺北市松山區八德路3段74巷3弄22號,"[""殺蟲劑Cypermethrin\t賽滅寧1."", ""殺蟲劑Dinotefuran\t達特南4.""]",2026-05-03T02:57:09.821513+08:00
2026-05-03T02:57:09.821513+08:00,2024,小漿果類,松山,不符合規定,微風超市股份有限公司(Breeze Super),微風超市股份有限公司(Breeze Super)/臺北市松山區南京東路3段337號2樓,"[""殺蟲劑Flonicamid\t氟尼胺0.""]",2026-05-03T02:57:09.821513+08:00
2026-05-03T02:57:09.821513+08:00,2024,包葉菜類,士林,不符合規定,全聯實業股份有限公司天母天玉分公司,全聯實業股份有限公司天母天玉分公司/臺北市士林區天母西路3號地下,"[""殺蟲劑Pyriproxyfen\t百利普芬0.""]",2026-05-03T02:57:09.821513+08:00
2026-05-03T02:57:09.821513+08:00,2024,包葉菜類,中山,不符合規定,臺北市第二果菜批發市場18-09號攤,臺北市第二果菜批發市場18-09號攤/臺北市中山區民族東路336號,"[""殺菌劑Flutolanil\t福多寧0.""]",2026-05-03T02:57:09.821513+08:00
2026-05-03T02:57:09.821513+08:00,2024,小漿果類,南山,不符合規定,阿一蔬果有限公司,阿一蔬果有限公司/臺北市南港區忠孝東路6段85號,"[""殺蟲劑Flonicamid\t氟尼胺0.""]",2026-05-03T02:57:09.821513+08:00
2026-05-03T02:57:09.821513+08:00,2024,小漿果類,中正,不符合規定,梅林水果行,梅林水果行/臺北市中正區開封街1段81、83號1樓,"[""殺蟲劑Flonicamid\t氟尼胺0.""]",2026-05-03T02:57:09.821513+08:00
2026-05-03T02:57:09.821513+08:00,2024,小葉菜類,松山,不符合規定,天香,天香/臺北市松山區八德路3段76號中崙市場第24號攤,"[""殺蟲劑Emamectin benzoate\t因滅汀0.""]",2026-05-03T02:57:09.821513+08:00
